"Strings","ECC_signed"
"Good morning!","b'0E\x02!\x00\x83qS\x1c\xd0Qh\xf0,\x93\x0b\x15\x97\xe3h\x11\x8cF\xc2\xf2Fo\xb8\xafr\xc4\xd5\xa3\xaa\x0b\xda\xdf\x02 +X\xa0\xd8\x84tU#\x0c\xec\x98\xf7\xec\x13&\xadE\xe7\x92oh\xec\x8f\x99\xbe\xf2\x1bd\xc8\xb7\x0e\xf6'"
"Good afternoon!","b'0E\x02 \x11\x19\x00\xe0\x0b\x97R[G\x8a|\x9b\xd5]K\xdf4\xca\x0f&\xe8?\xa0X+\x0bC\xacBl\x9d\xaf\x02!\x00\x8d\xfego\xc9\xd5\xcf\t\xb4\xae~\xf9\x08\xc4\xc1V\xb8\x8eU%\xcax\xf5\xa6\xdcu7D\x8aD\xbb\x89'"
"Good evening!","b'0D\x02 t\x07\xb44(\xc5\xe8g(\xcf\xee\xc6\x02\xe1e""\x9b\x8eHt\xff\xec\xb8B\x1b\xee\xe1\xae\x82\xe5[\xe0\x02 ""_\x17w+\x15H\xe5\xb5\xf1\x1aU\x1c\xac\xde=P\x90`\xfe]=\xa6|\x03\xd3\xb0\xa7\xec\xbd\x86\xbb'"
"Turn left.","b'0E\x02!\x00\xe7\x7f?\xc2\x0b\n\xd6+\xc3\x98\xd5\xf6\xb7[\xef\xaa\xe6\x0b\xc5\xe8[\x12\xf4\xb0M\xb9\xb2\xe5\x83\xbb\xa5\xe5\x02 9o\x95P>D\xa8r$e\t<\xb4\x00\x9b\x8b>\x07\xfe\xafQ\x1b\xc6\xf0\xda\xd5\x9b%X\xd7\xef\xf7'"
"Turn right.","b'0E\x02 c:\xf1\xe1\xab@\xb2\x14S,\x0c\x82\x94\xd6\x8ax\xe2\xdc\xac\xe4\x1fh\x87\x83\x96:\xea\x9a\xea\xa2NN\x02!\x00\xda\xd6$\x02\x13\x18V\xceui(\xc8&\xc1!\xf4\x18c$\x11\xdc\xb6\n\x12\xa9\x14on\xf7\xdf\x98U'"
"Go straight.","b'0D\x02 G\xad`\xb3B\xed\xf7\x1f\xf57\xca\xd7O\xf0\x99i\x04\xc1\xf3\xf3\x83\x9a\xf4(]w0Z\x02{Y\xf2\x02 Q*\xa4\xa8\xe9,j\xf0T\r\xbc&M\xf4VaC\x13\xd2\xaa\x89\xa6\x1b\x13\x19\xc4\x1a\x8b\xa1:J\x8a'"
"My apologies.","b'0D\x02 +\x0c\xfdq\xa6\x03\xc2\x07%7\x91E\x15\x0bP\xd3\xbc m\xab\x19\xe7|f\xe7\x92\x02\xdf\x0c\x85\xa5\xe4\x02 *i?\xe4c\x03\xd2\x99G\xac\x08\xbb\xb1uWJ\xa10e\xa0\xc9\xd9\r\x97\xa5sN\xa5\x81F\x96\xe8'"
"It’s snowing.","b""0E\x02!\x00\x8bb\xba4W\xf5'Q\x08\xf3\xe5!\xeb\xe7\xc1\xd1\x01\xeb\xb7H\xc2\xa7\xeeZ\x14\xd8\x89k\xc8\xfba\xac\x02 L\xd0\x18\x05\x04\xf3n-Egxu/\xcf\xcd\x1d\x98\xe3\xad\xa6\xf8\xbd\xc2\xc1i$]\xd2v=\x16\x1f"""
"It’s humid.","b""0F\x02!\x00\xc8\x93\xf9\xd4\xa0f)\xaaR\x19\x98\x8bI:\xe2\xa9\x91$\xb9B9\xba\x9b\xda\x02Y6X_\x9f\xe6\x15\x02!\x00\xd5Gz\xce\xe2J]'w\xfa\x8a!z\xf6\xef\xca\x0e\xdab\xa1g#\xdd\xbf\x89>\xc6X\xcc\xd9i!"""
"It’s foggy.","b'0E\x02 9""b\xf4\x96\xd8\xb2~\x82\xccS\\\xd8D\x1a\x19J\xa2K\r\xb1r\x12K\xe5\x05\x0bo\xee\xfc\xbb\xc7\x02!\x00\xacm\x85\x82\\z\x83\x85|3\x07X\xb5x\x8a\xb4\x9d\xe6\x98\xa2\r\xbd\xd8C\x1f\x98l\x01\x90\xf1X\xec'"
"It’s drizzling.","b'0D\x02 qu\xf4VB\xae\xc8(?n\x18\x14\x9fDd&\xe9\x8f\xcd\x07\xc6\xb8\xd2~a\xfcE\xe7\x07193\x02 aG:f\x06IL9s%\x0c\xd5$GC3k}\xf6\xb4e@vo\xce\xcbAu\x8d\xa9\xe6E'"
"It’s freezing.","b'0E\x02!\x00\x99\xc5\xdc\x01\xf7\xc3\x03\x14Y\x9c\xfcf\x98 {rA8\x84\x9e\xeb\xa9\x86\xc1_:\xb3\x9e\xe87wu\x02 \x15\xfd\xf22]z\xdf\x98&\x00H\x1e11i\xe0y\xe93\xab\x10\xb6\xc6\xe6\x03\xae&\xb2\x9e\xab\xed#'"
"It’s stormy.","b'0E\x02!\x00\xe9\xc9\xa9\xa0Nt\x18\xe9FP\xc6\xae\x92VtG\xa4\xef\x98I\xf5\x952b\xf2\xaeF\x88\xd0\xb1V\xfb\x02 1mh<\xf0\xce\x10\x7f\xf5\xa3\xe0A\n\x89z)\xa2UZ\xbb\x9a2\x01\xfc\x16\xed\xa0>k\xf7\x95-'"
"It’s overcast.","b'0E\x02!\x00\xb2x\xb6\xe53-\x00\xe7E\xc9\xbd\xa5r|_\xe0BEI\x0cf\x9d\xcd\x8c\xb6.\x88\xcbSN\xd7\xab\x02 <\xceQ8\xd9\xcb\x07\x82\xcaA\x94\x92Y1\x0e\x93V\x88\xda $\xc5Idi \xc1\xf1\x8f\xc6\xff\xfb'"
