"Strings","Encrypted","algorithm"
"A photograph of a marsh or wood showing the favorite haunts of a species is worth more than pages of description.","aTBtEfYQwo5nMtaF6N3n4XiKE1BRZV06lIH35noCYumWPKB0g3VqX71R00rCx7QMJSiTZGWtslWCc1IG9bMjuNP3iwgYv0tZX8/PkZl9uqbzk3SRrsV4iKzn8hAfDz52JWMvF/tQTqgUefEeAxkeTksAiWle8Ekm","Blowfish"
"Keep striving.","B0p6MMBYWB8I84Faj2IqqQ==","Blowfish"
"Explore","b'}\xb2\x8e\xd4%\xe3jX\x8b=\xdf\xdfW\xae]9\xa5\xd1Q\xe96\x82\xe3\xf6\x98\x99\x95\xe5RD\xcd\x8f'","AES"
"'Image a thousand of these things coming over the horizon right at you,' Andreessen said.","9VjyrM5oRVmDrXv5ksVPYNEExQ8zere4/q6pRMnjr9yHuiqpWMCu3QApP8OZdtVQ1CWVBn5RlmCnmuXG91yenvgZ5sDpJjSE4a4OhK2siJn2A+CSK/ALwUsAiWle8Ekm","Blowfish"
"The combined focus of the front and back lenses is seven and a half inches, of either of the lenses alone, fifteen inches.","b'\xbe\x97\xd7@&\xf4\x9a\xc7\xf4\x12\xe9(v\x97\x87\xdc\xf8\xf5\x89\xe1U\xfc;\x85=\xa6\xc6%Zdi\xcb\xdd\xb2\x0c\x81/\xa9\x13Q\xeb\xd8$#\xe0t\x00K\xbcJ]\xe0\xc1\xf4i\x1f\xd2\xa3\xa5\x12\xfa\xa6\x7f\xab""\x8d\x1e=9\xbfUol\xd8\xf3\x13\x9fZ\x1a)\x0cs\xc1@4\xa1_kb\xa3\x1e\xba\xda\xdd""~\xb9\xdc\xf9f\x05\x0b\xea\x06\xc6\x8d\x9b\xeag];k\x95\xe0\xa3\xfe\xa4\xd8V)[\xdf\xa67^\x9f\xec9\xa4\x84e\xa0\t\xdd\xa8*\xf3\x84U\xa93\xa2\x19>'","AES"
"Could you speak more slowly?","b'\x04\x12nV\x8d\x06B\xed*!\tPC\xe2z\x83\xb5\xfd\x90U\x19/u\xb4~\xb3e\x8e'","ChaCha20"
"{Ci;-0A~L5V0B","b'\x198N\xd0l\xd8\x10\xfcf,\xffj\\'","ChaCha20"
"The world belongs to those who take action, not just those who dream.","4CqooQKNMwudR0s8JUr3lIHQA1m/ikRAzEbHMar3C9xSH17MG1SS396QTRk1suGjfEp6miqR0XLBcGzO94dnILwB3odXtDZG","Blowfish"
"*{(w;<f#KFt:6uWiY","b'""C\x06\xc3\x80\xb2)3\xab\xe4/\x99}\x15\x02\xa2\x08\xcc\xd4\x05\xf5Dm\x95\xbc""\x8d\xa9\x96\rI\xb8\x104\xf3\xbf\x01\x89\xb5\xc2\x1d-\x8d\x17\'\x85\xcd\xd9'","AES"
"But analysts have warned that the process is likely to be bogged down by issues such as power and land constraints and permitting.","b'\x853>\xd70\xd9\x932\x17%\x8c\xa1\x9cA\x01\x0b\xb6\x14^\xcd\x98a\x0c\xc8\x994s\xe6s\xeb\xed[\x8dc2\x0cItG\x12\xddl\x0f\xe7.7\x01\x0c\x0bc\xbdX\x1ch\xb5~\x9f\x18l8d\x7f\x12rDZ\xcc\x10\xeaX\xce,\x9e\x93F\xed\xbc\xa0\xc3\xa4\x9eK\x8b\xaf\xf1\xf7UM\x8ad\x1aU\xfb\xce&\xd0\xfc\xb6V\xce\xcai\xe8\xa7\x19k\xec\xcc\xd1\xe0|W \xba]I\xbc\xe5nH8\xaa\xac\x95\xdca/#\xea\xd6'","ChaCha20"
", without assistance, and I fear that the inconvenience attending their use will restrict them to the few enthusiasts who count neither time, labor, nor cost in attaining a desired end.","b'\xbb\x83*\xc0\x0e\xff/Y%\xcd\xc7\xe4\xeb\xd3\xd7\x8c~&\xb2\x88\xde\xdd\xab\xd7\x8eT\xf3\x85\xef\x9d\x12\xff\xad\x06\x9c\x01J\xccjP\xbd\xfa\x81\xb0\xd15\x8c\xe4\xb0\x89\xf0\x90\xeb/\xbc\x9e\xd6\xd1y\x16JA\xb5\xee\x12\xea\xc4\x9d\x89\xa6k\xac\x0f6A\x04\'\xefU(\xac\xe7\xc6\xa1\xee\x80\xe6\x10~@?\x16\xdb\xad\xecz\x02\xb4\x85\x10\xf0\xfd\xa1O\xf0.\x85\xe8B\xf1\x1f\xb0\xff?\\m\xd9\x02\x9b\x0f\x8a\x1a\xba\xce4\xb9\xd9c\x10$\xf3?`\x95""\xca2(\xe7\xe6l\xf7\xb7h\xceF\xa4@(\x06\xba[H\xba\x9eY\x04y\xc7\xa8\x14\xab\xe60\xb1\x88\xbd|I6`_L\xbd\xd4`\xcb\xed9\x1e\x11\x92\x8f\xb48'","ChaCha20"
