"Strings","AES_encrypted"
"Good morning!","b'\xcb\x04\xfe](\xfd\xeb\xe0AV\x80\x14\xc3{\xbb@\xaa\x89\x99\xbdViF\x88\x13\x1c\xab\xa4\x0bY\x10`'"
"Good afternoon!","b'qO%\x1b/6\x90$\xf0\xbf\xd2\xdb\x91\x18Z\xd5\xdd\xad\x05(\xc0\xa2\xd9\xba\x91q\xa9\xe2=\x17B('"
"Good evening!","b'\xec\x19\xf0\xa3y\x9b%*\x0b!4\x16^\xcd\x95w\xe0][ux\x85\xee&{\x15.vr:\xa2\r'"
"Turn left.","b'\xf1u\x92\x04\x02f\x0cK6X\x81o_\x9c\xbe\xf0\xbe\xb6\xb5\xf3\xd6{N\xb0\xe6O4\xa4\x8dR\xd4\x1f'"
"Turn right.","b'J)\xdf?`\xca-\x1b\x9dOz\xcdG\xe9\xfe\x0eh3B4\x024\xe3\xe9\x9d-m\xd6\xd5\xba@c'"
"Go straight.","b'\xb2\xd2\xaa&$?\x8c\xc3\xdf\xc5\xb6\xff\x11\xc8\x02pL\x86[\xf7\x12\x96\x80K\x105i\xdf-\xdbO\xe8'"
"My apologies.","b'\x17\xc1\x8eT1\xc4\x96\x94\xe9K\xaa\xe2\xb0\xebo\x14O\x93\x9b\xd3}:z\xac\xab\xbc3>y\xf7[\xaa'"
"It’s snowing.","b'VY\xcd\x16\xd9g;\x02<\x9a>\xa2\xb4\x13\xe5\x85\xe4j\xca\xd2\xc1\xcd\x0c\x90E\x0c*\xee\xcf\xa08\xdd'"
"It’s humid.","b'H\xfb\x06\x19q\x97\xc2\x7f\x8eQ\xa4\x1f\x84\xcb\x00\xce\xd5\x8a\r\xee\xaf\xa9?ptU\x87b\x85\x9e\x8aE'"
"It’s foggy.","b'X\xdd\x13\r\xee\xad\xd2\x81M\xa3\xa7\x91e\x00wE\xf9\xd2\x9f\x91\xb4\x8c\xd5\x85b\x85Tzf-\x0f\xff'"
"It’s drizzling.","b'\x96\xfa\xda\xc9\xeej\x9c\xbc\x9f4\xa1<Q\xca\xa3T\xdde-\xe2\xef\xcf\xd9\xd8\x0f\x17\xec\xe1\x92a\xd0u-\xa7\xc75b\xea\xff\xbfu*\xa8>\x9c""0\n'"
"It’s freezing.","b'mM~;\x96\xf4\xbb\xed[\x9b\xe4L\xf54\x9f\x81\xb9\x04\x8b[\xde\xab\x1a\xdb\x16\x18\x10\xac\t\xd7S\xdaPi\xa1a\x0f\xa0\x17\xbc\xf2\x04\x88\x00g\xdb\xda\xa7'"
"It’s stormy.","b'\xb7F\x1ag\xd9-\xde-\x8c1\xab\xa4\x01I\xd0Si\xf4(C\xb0t\xb1\xcf\xaf\x8f\x0f\x81\xa0V\xd2@'"
"It’s overcast.","b'\xddr\xfb6_E_r\xa0\xfd\xe2UCF\xef\xdbZ{)\xc5D\x7f\xe9e\xfd\x19\xbax\xf0\xc6\xe9\xa2\x8e\xe1k\xb4\xf7\xef\x93\xf9\x96\xe9\xe0\xcdZ\xc8\x15\xad'"
"It’s breezy.","b'\x92\xdc/\x07vg\x03\xf2\xacu]\x02o\xae\x89\x8dEq\xe7\xedh\xf2u\xae^\xc6\xe3\xd9:\xb9\r\xb1'"
"Altman added.","b'\x02\xb61L\x9au\xc4\x9eE/bjy""\xa3\xb1\xd5""\xd2\\`\x07\x0fMbA\x05}\xe2\xd3$V'"
"AI Assistant","b'AJ\x9d\x088\xc0\xddu\x0b\x94\xf8Y\xb3\xc5D7,\x92\xd7b{\xf3\t\xee_\x1a>\xe0s\xcd\x8e\x0c'"
"Adobe Acrobat","b'\xb6`\xa8\x1c\xa8\x99\xdb\x84+\x97|P\x17\xd0\x868^\xfb\x15\xf8\x18\xe3\x89u\x183L\xbd\xc3[.\x08'"
"unischolars.","b'\x0b\xe7ve\xde\xe5\xf1x\xf2@\x95\x80\r\\6\xc9\xad\xbdh\xe3?\x8dn\x0ce\x963\x0f\xdd\xce\xbc\x9e'"
"com","b'\xde \x19\xd2\x8e\x12P\xd9\x90r2>\x84j\xdb]\xc6?\x139\xa8\xb2@}\xf0\x83\xa8\x1cE>\xa9\x08'"
"Ad","b'\xc4\x1f\xb3\xe8\xd1R\x94\xa9\xeb\x02""\xd5\xc1\xd7\x9dW\xc4\x0bU!\xacg\xecM\xaf\xa8{\xb8\x13!\xbd\x95'"
"IIC Lakshya","b""\x0b\xe6'f\x8e\x113\xea5\xff\xaf\x0f\xb3\xfc\xf2n\x0c\x9b`3\xe9\x98\x9f\xe9\x97\xe5\xd6\x0b\xe2$\xc0\xb9"""
