"Strings","Encrypted","algorithm","length","A",".","+","i","p","<","[","`","#","g","z","6",")","?",",","t","J","T","n","~","(","k",";","-","Z","G","D","f","{","\","=","r","X","@","c","y","h","/","^","Y","$","Q","0","e","o","I","V","b","H",">"," ","K","F","q","7","j","M","B","U","E","N","s","L","S","!","_","C","&","]","*",":","R","d","O","8","""","9","v","P","l","a","'","w","4","2","x","5","}","1","m","|","W","%","u","3"
"A photograph of a marsh or wood showing the favorite haunts of a species is worth more than pages of description.","aTBtEfYQwo5nMtaF6N3n4XiKE1BRZV06lIH35noCYumWPKB0g3VqX71R00rCx7QMJSiTZGWtslWCc1IG9bMjuNP3iwgYv0tZX8/PkZl9uqbzk3SRrsV4iKzn8hAfDz52JWMvF/tQTqgUefEeAxkeTksAiWle8Ekm","Blowfish","160","1.875","0.0","0.0","3.125","0.0","0.0","0.0","0.0","0.0","1.875","1.875","1.25","0.0","0.0","0.0","3.125","1.25","2.5","2.5","0.0","0.0","3.125","0.0","0.0","2.5","1.25","0.625","1.875","0.0","0.0","0.0","1.25","1.875","0.0","0.625","0.0","0.625","1.25","0.0","1.875","0.0","1.875","3.125","2.5","1.25","1.25","1.875","1.25","0.625","0.0","0.0","1.875","1.25","1.875","1.25","0.625","2.5","1.875","0.625","2.5","1.25","1.875","0.0","1.25","0.0","0.0","1.875","0.0","0.0","0.0","0.0","1.875","0.0","0.0","1.875","0.0","1.25","1.25","1.875","2.5","1.25","0.0","1.25","1.25","0.625","1.25","1.875","0.0","1.875","1.25","0.0","3.125","0.0","1.875","3.125"
"Keep striving.","B0p6MMBYWB8I84Faj2IqqQ==","Blowfish","24","0.0","0.0","0.0","0.0","4.166666666666666","0.0","0.0","0.0","0.0","0.0","0.0","4.166666666666666","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.333333333333332","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.166666666666666","0.0","4.166666666666666","4.166666666666666","0.0","0.0","8.333333333333332","0.0","0.0","0.0","0.0","0.0","0.0","4.166666666666666","8.333333333333332","0.0","4.166666666666666","8.333333333333332","12.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.333333333333332","0.0","0.0","0.0","0.0","0.0","4.166666666666666","0.0","0.0","4.166666666666666","4.166666666666666","0.0","0.0","0.0","0.0","0.0","0.0","4.166666666666666","0.0","0.0","0.0"
"Explore","b'}\xb2\x8e\xd4%\xe3jX\x8b=\xdf\xdfW\xae]9\xa5\xd1Q\xe96\x82\xe3\xf6\x98\x99\x95\xe5RD\xcd\x8f'","AES","95","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.1052631578947367","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0526315789473684","4.2105263157894735","0.0","21.052631578947366","1.0526315789473684","0.0","1.0526315789473684","0.0","1.0526315789473684","0.0","0.0","0.0","0.0","0.0","0.0","1.0526315789473684","0.0","6.315789473684211","0.0","0.0","0.0","3.1578947368421053","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0526315789473684","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0526315789473684","0.0","0.0","1.0526315789473684","5.263157894736842","0.0","5.263157894736842","0.0","6.315789473684211","0.0","0.0","0.0","2.1052631578947367","2.1052631578947367","0.0","1.0526315789473684","2.1052631578947367","21.052631578947366","3.1578947368421053","1.0526315789473684","1.0526315789473684","0.0","0.0","1.0526315789473684","1.0526315789473684","0.0","2.1052631578947367"
"'Image a thousand of these things coming over the horizon right at you,' Andreessen said.","9VjyrM5oRVmDrXv5ksVPYNEExQ8zere4/q6pRMnjr9yHuiqpWMCu3QApP8OZdtVQ1CWVBn5RlmCnmuXG91yenvgZ5sDpJjSE4a4OhK2siJn2A+CSK/ALwUsAiWle8Ekm","Blowfish","128","3.125","0.0","0.78125","2.34375","3.125","0.0","0.0","0.0","0.0","0.78125","0.78125","0.78125","0.0","0.0","0.0","0.78125","1.5625","0.0","3.90625","0.0","0.0","1.5625","0.0","0.0","1.5625","0.78125","1.5625","0.0","0.0","0.0","0.0","3.125","1.5625","0.0","0.0","2.34375","0.78125","1.5625","0.0","0.78125","0.0","2.34375","0.0","3.125","0.78125","0.0","3.90625","0.0","0.78125","0.0","0.0","1.5625","0.0","1.5625","0.0","2.34375","2.34375","0.78125","0.78125","3.125","0.78125","3.125","0.78125","1.5625","0.0","0.0","3.125","0.0","0.0","0.0","0.0","2.34375","0.78125","1.5625","2.34375","0.0","2.34375","1.5625","1.5625","1.5625","0.78125","0.0","0.78125","2.34375","1.5625","0.78125","3.125","0.0","1.5625","3.125","0.0","2.34375","0.0","2.34375","0.78125"
"The combined focus of the front and back lenses is seven and a half inches, of either of the lenses alone, fifteen inches.","b'\xbe\x97\xd7@&\xf4\x9a\xc7\xf4\x12\xe9(v\x97\x87\xdc\xf8\xf5\x89\xe1U\xfc;\x85=\xa6\xc6%Zdi\xcb\xdd\xb2\x0c\x81/\xa9\x13Q\xeb\xd8$#\xe0t\x00K\xbcJ]\xe0\xc1\xf4i\x1f\xd2\xa3\xa5\x12\xfa\xa6\x7f\xab""\x8d\x1e=9\xbfUol\xd8\xf3\x13\x9fZ\x1a)\x0cs\xc1@4\xa1_kb\xa3\x1e\xba\xda\xdd""~\xb9\xdc\xf9f\x05\x0b\xea\x06\xc6\x8d\x9b\xeag];k\x95\xe0\xa3\xfe\xa4\xd8V)[\xdf\xa67^\x9f\xec9\xa4\x84e\xa0\t\xdd\xa8*\xf3\x84U\xa93\xa2\x19>'","AES","421","0.0","0.0","0.0","0.4750593824228029","0.0","0.0","0.23752969121140144","0.0","0.23752969121140144","0.23752969121140144","0.0","1.4251781472684086","0.4750593824228029","0.0","0.0","0.4750593824228029","0.23752969121140144","0.0","0.0","0.23752969121140144","0.23752969121140144","0.4750593824228029","0.4750593824228029","0.0","0.4750593824228029","0.0","0.0","4.275534441805226","0.0","21.852731591448933","0.4750593824228029","0.0","0.0","0.4750593824228029","3.0878859857482186","0.0","0.0","0.23752969121140144","0.23752969121140144","0.0","0.23752969121140144","0.23752969121140144","2.6128266033254155","3.32541567695962","0.23752969121140144","0.0","0.23752969121140144","3.0878859857482186","0.0","0.23752969121140144","0.0","0.23752969121140144","0.0","0.0","1.66270783847981","0.0","0.0","0.0","0.7125890736342043","0.0","0.0","0.23752969121140144","0.0","0.0","0.0","0.23752969121140144","0.0","0.23752969121140144","0.4750593824228029","0.23752969121140144","0.0","0.0","4.275534441805226","0.0","3.0878859857482186","0.4750593824228029","3.800475059382423","0.23752969121140144","0.0","0.23752969121140144","5.463182897862233","0.4750593824228029","0.0","1.9002375296912115","1.187648456057007","21.61520190023753","1.187648456057007","0.0","3.32541567695962","0.0","0.0","0.0","0.23752969121140144","0.0","1.9002375296912115"
"Could you speak more slowly?","b'\x04\x12nV\x8d\x06B\xed*!\tPC\xe2z\x83\xb5\xfd\x90U\x19/u\xb4~\xb3e\x8e'","ChaCha20","74","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.3513513513513513","1.3513513513513513","0.0","0.0","0.0","1.3513513513513513","0.0","0.0","1.3513513513513513","1.3513513513513513","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.3513513513513513","0.0","20.27027027027027","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.3513513513513513","0.0","0.0","0.0","0.0","4.054054054054054","5.405405405405405","0.0","0.0","1.3513513513513513","5.405405405405405","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.3513513513513513","1.3513513513513513","0.0","0.0","0.0","0.0","0.0","1.3513513513513513","0.0","1.3513513513513513","0.0","0.0","1.3513513513513513","0.0","0.0","4.054054054054054","0.0","4.054054054054054","0.0","2.7027027027027026","0.0","1.3513513513513513","0.0","0.0","2.7027027027027026","0.0","2.7027027027027026","2.7027027027027026","18.91891891891892","1.3513513513513513","0.0","2.7027027027027026","0.0","0.0","0.0","0.0","1.3513513513513513","2.7027027027027026"
"{Ci;-0A~L5V0B","b'\x198N\xd0l\xd8\x10\xfcf,\xffj\\'","ChaCha20","35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.857142857142857","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.428571428571429","0.0","22.857142857142858","0.0","0.0","0.0","0.0","2.857142857142857","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.714285714285714","0.0","0.0","0.0","0.0","2.857142857142857","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.857142857142857","0.0","0.0","0.0","0.0","2.857142857142857","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.714285714285714","0.0","5.714285714285714","0.0","2.857142857142857","0.0","0.0","2.857142857142857","0.0","5.714285714285714","0.0","0.0","0.0","17.142857142857142","0.0","0.0","5.714285714285714","0.0","0.0","0.0","0.0","0.0","0.0"
"The world belongs to those who take action, not just those who dream.","4CqooQKNMwudR0s8JUr3lIHQA1m/ikRAzEbHMar3C9xSH17MG1SS396QTRk1suGjfEp6miqR0XLBcGzO94dnILwB3odXtDZG","Blowfish","96","2.083333333333333","0.0","0.0","2.083333333333333","1.0416666666666665","0.0","0.0","0.0","0.0","0.0","2.083333333333333","2.083333333333333","0.0","0.0","0.0","1.0416666666666665","1.0416666666666665","1.0416666666666665","1.0416666666666665","0.0","0.0","2.083333333333333","0.0","0.0","1.0416666666666665","4.166666666666666","1.0416666666666665","1.0416666666666665","0.0","0.0","0.0","2.083333333333333","2.083333333333333","0.0","1.0416666666666665","0.0","0.0","1.0416666666666665","0.0","0.0","0.0","3.125","2.083333333333333","0.0","3.125","2.083333333333333","0.0","1.0416666666666665","3.125","0.0","0.0","1.0416666666666665","0.0","2.083333333333333","1.0416666666666665","1.0416666666666665","3.125","2.083333333333333","1.0416666666666665","2.083333333333333","1.0416666666666665","2.083333333333333","2.083333333333333","3.125","0.0","0.0","2.083333333333333","0.0","0.0","0.0","0.0","4.166666666666666","3.125","1.0416666666666665","1.0416666666666665","0.0","3.125","0.0","0.0","1.0416666666666665","1.0416666666666665","0.0","2.083333333333333","2.083333333333333","0.0","1.0416666666666665","0.0","0.0","4.166666666666666","2.083333333333333","0.0","0.0","0.0","2.083333333333333","4.166666666666666"
"*{(w;<f#KFt:6uWiY","b'""C\x06\xc3\x80\xb2)3\xab\xe4/\x99}\x15\x02\xa2\x08\xcc\xd4\x05\xf5Dm\x95\xbc""\x8d\xa9\x96\rI\xb8\x104\xf3\xbf\x01\x89\xb5\xc2\x1d-\x8d\x17\'\x85\xcd\xd9'","AES","155","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.2903225806451613","0.6451612903225806","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.6451612903225806","0.0","0.0","0.6451612903225806","1.935483870967742","0.0","23.225806451612904","0.0","0.6451612903225806","0.0","0.0","3.870967741935484","0.0","0.0","0.6451612903225806","0.0","0.0","0.0","0.0","4.516129032258064","0.6451612903225806","0.0","0.6451612903225806","0.0","4.516129032258064","0.0","0.0","0.0","0.0","0.0","0.0","0.6451612903225806","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.6451612903225806","0.0","0.0","0.0","0.0","0.0","3.870967741935484","0.0","4.516129032258064","1.2903225806451613","4.516129032258064","0.0","0.0","0.0","1.935483870967742","1.935483870967742","0.0","1.935483870967742","2.5806451612903225","21.935483870967744","3.870967741935484","0.6451612903225806","3.225806451612903","0.6451612903225806","0.0","0.0","0.0","0.0","1.935483870967742"
"But analysts have warned that the process is likely to be bogged down by issues such as power and land constraints and permitting.","b'\x853>\xd70\xd9\x932\x17%\x8c\xa1\x9cA\x01\x0b\xb6\x14^\xcd\x98a\x0c\xc8\x994s\xe6s\xeb\xed[\x8dc2\x0cItG\x12\xddl\x0f\xe7.7\x01\x0c\x0bc\xbdX\x1ch\xb5~\x9f\x18l8d\x7f\x12rDZ\xcc\x10\xeaX\xce,\x9e\x93F\xed\xbc\xa0\xc3\xa4\x9eK\x8b\xaf\xf1\xf7UM\x8ad\x1aU\xfb\xce&\xd0\xfc\xb6V\xce\xcai\xe8\xa7\x19k\xec\xcc\xd1\xe0|W \xba]I\xbc\xe5nH8\xaa\xac\x95\xdca/#\xea\xd6'","ChaCha20","364","0.27472527472527475","0.27472527472527475","0.0","0.27472527472527475","0.0","0.0","0.27472527472527475","0.0","0.27472527472527475","0.0","0.0","1.098901098901099","0.0","0.0","0.27472527472527475","0.27472527472527475","0.0","0.0","0.27472527472527475","0.27472527472527475","0.0","0.27472527472527475","0.0","0.0","0.27472527472527475","0.27472527472527475","0.27472527472527475","2.197802197802198","0.0","21.153846153846153","0.0","0.27472527472527475","0.5494505494505495","0.0","6.868131868131869","0.0","0.27472527472527475","0.27472527472527475","0.27472527472527475","0.0","0.0","0.0","3.571428571428571","4.395604395604396","0.0","0.5494505494505495","0.27472527472527475","3.571428571428571","0.27472527472527475","0.27472527472527475","0.27472527472527475","0.27472527472527475","0.27472527472527475","0.0","1.9230769230769231","0.0","0.27472527472527475","0.0","0.5494505494505495","0.0","0.0","0.5494505494505495","0.0","0.0","0.0","0.0","0.0","0.27472527472527475","0.27472527472527475","0.0","0.0","0.0","4.1208791208791204","0.0","3.021978021978022","0.0","3.296703296703297","0.0","0.0","0.5494505494505495","4.395604395604396","0.5494505494505495","0.0","0.8241758241758242","1.098901098901099","21.153846153846153","1.098901098901099","0.0","3.8461538461538463","0.0","0.27472527472527475","0.27472527472527475","0.27472527472527475","0.0","1.098901098901099"
